	voltage [V]	g	phi	I	Q
0	0.01	-0.003440989191395262	-0.07217027734954942	-0.004880691470394898	-0.005927022369083039
1	0.02	0.006344358889586496	-0.07453735479089517	-0.004779128871428217	-0.0059128283421488225
2	0.03	0.004776191711425785	-0.07623186111450195	-0.004868501079840826	-0.0058803678231811336
3	0.04	0.009681636409868589	-0.07785086932324248	-0.004842424267938572	-0.0059521375709344244
4	0.05	0.008343901143751966	-0.07716181403804685	-0.004953946133173305	-0.006054870471052711
5	0.060000000000000005	0.007285746932029724	-0.0771061137318611	-0.004883746965591761	-0.005978535444405688
6	0.06999999999999999	0.01016977175131615	-0.07666171582513924	-0.004911610615090467	-0.006148782720265445
7	0.08	0.009552225700652967	-0.07680640575419119	-0.005007240130793837	-0.006003639506224127
8	0.09	0.010906887571150034	-0.077582276034002	-0.005008458143710321	-0.0062303180938534115
9	0.09999999999999999	0.011279350679211575	-0.07722879708739186	-0.005111459589129836	-0.006247122376786965
10	0.11	0.011174019289942555	-0.07743091770492502	-0.0052398150795688585	-0.006191553899024361
11	0.12	0.013251947372037876	-0.07775792300406298	-0.00521767598781935	-0.00627938850572036
12	0.13	0.012654454766472681	-0.07913738149570322	-0.005311427704901915	-0.006291025368565779
13	0.14	0.01304458263439301	-0.07882761329801721	-0.00549448959578292	-0.006239314951723981
14	0.15000000000000002	0.014662054152710085	-0.08010430614603131	-0.005599959791629766	-0.00627463487077193
15	0.16	0.013783946237526828	-0.07878108111908658	-0.0058413178766386405	-0.006619433267360365
16	0.17	0.01393455542412482	-0.08014521347860093	-0.005635415628967169	-0.006388785210856441
17	0.18000000000000002	0.013344607324474109	-0.08113157428051421	-0.005878495671880095	-0.0063895709074507385
18	0.19	0.013562774943420662	-0.0810521443519974	-0.005992952568772126	-0.0063042562696978156
19	0.2	0.014667557890624284	-0.08048036203373919	-0.005924720988884368	-0.006420989068266304
20	0.21000000000000002	0.014943652144938825	-0.08221183037112499	-0.006021295259961336	-0.006908788139935496
21	0.22	0.015584895122083258	-0.08204327767653014	-0.006088924568393847	-0.0067665080516235345
22	0.23	0.01646414324641228	-0.08343684785068035	-0.006333042911865053	-0.00722950888994092
23	0.24000000000000002	0.01742936158065597	-0.08504516926171116	-0.006143689148143138	-0.0068163060238797275
24	0.25	0.018106216005980967	-0.08471728516742587	-0.006102461871705602	-0.007655348841763042
25	0.26	0.019628288476747007	-0.08589050860083487	-0.006102426120054365	-0.007049467939887672
26	0.27	0.021514130170547575	-0.08773424181566103	-0.006206569705380258	-0.007428350944729087
27	0.28	0.02248459893780818	-0.0885633000269081	-0.006161403147653743	-0.008634791260758591
28	0.29000000000000004	0.024385509018611633	-0.08994135807224667	-0.006343362103507388	-0.007979883788357255
29	0.3	0.027735149979707788	-0.09181103379960406	-0.006390103333827729	-0.00807871382762265
30	0.31	0.031985726109779365	-0.09403647632559989	-0.006389091781315171	-0.008443883330559822
31	0.32	0.03488989493572845	-0.09499327824438276	-0.006488757589249872	-0.01042309433832998
32	0.33	0.0400715618377518	-0.0955323257186663	-0.0065331651371138815	-0.009351545182113341
33	0.34	0.044870926821708235	-0.09827348696247956	-0.006562119687810614	-0.009980782226515331
34	0.35000000000000003	0.04999671001863498	-0.09922271312021902	-0.0068543713609074035	-0.01000976141537535
35	0.36000000000000004	0.05639053683519821	-0.09973266647068896	-0.006913323597026205	-0.010505071053384718
36	0.37	0.06111425458775946	-0.10109668539485855	-0.007260719257152901	-0.011086883612352324
37	0.38	0.06901399728003674	-0.10209224059722319	-0.007410418615204599	-0.011441693635693391
38	0.39	0.07524032727815211	-0.10204672666732223	-0.007495069784536671	-0.011836517628942998
39	0.4	0.08332997252973656	-0.10169129830787825	-0.008295462277264281	-0.012844743854815092
40	0.41000000000000003	0.09104105128053092	-0.10230321437042879	-0.007869981206022203	-0.013688241201452914
41	0.42000000000000004	0.095375452193494	-0.10197119505003373	-0.008508844422317453	-0.013982835190449803
42	0.43	0.10399728640913963	-0.1020444896072149	-0.008190908166392105	-0.013615020194228167
43	0.44	0.11370468856766819	-0.10236139823682606	-0.008172064330938159	-0.014707011761129249
44	0.45	0.12681580930948258	-0.1033623434603214	-0.008562125979733541	-0.01761437885979831
45	0.46	0.14423792497327664	-0.10329883051635988	-0.008601840342370473	-0.019470132250979683
46	0.47000000000000003	0.16154888263387335	-0.10120463665866522	-0.00922848187456822	-0.019933763532448266
47	0.48000000000000004	0.17738623938980466	-0.0988266633518102	-0.009588875149661068	-0.020419304206099678
48	0.49	0.19702986098870762	-0.09631783906488	-0.009396528825163848	-0.021435723640024662
49	0.5	0.21541718718082575	-0.09432732371033548	-0.009863958579859042	-0.021879412286140716
